,Temp,Preci,Gust,Wind,Windir,LAI,Total Outages
303,-4.07999267578123,0.0,13.460000038147,5.889999866485598,280.70001220703097,0.5803357214899734,1838.0
304,-3.57999267578123,0.0,14.359999656677198,5.92999982833862,285.600006103516,0.580975228920579,115.0
305,-2.9899963378906,0.0,12.9699993133545,5.58999967575073,294.5,0.5816147363511845,574.0
306,-2.19000854492185,0.0,11.869999885559098,4.730000019073491,297.5,0.5822542437817901,82.0
307,-1.76999511718748,0.0,10.979999542236301,4.88000011444092,293.399993896484,0.5828937512123957,76.0
308,-1.67999877929685,0.0,9.59000015258789,3.68999981880188,285.70001220703097,0.5835332586430013,68.0
309,-2.04999389648435,0.0,8.71000003814697,3.7899999618530296,280.899993896484,0.5841727660736069,8.0
310,-2.73001708984373,0.0,8.67000007629395,3.1499998569488503,283.899993896484,0.5848122735042125,10.0
311,-3.16000976562498,0.0,8.64999961853027,3.22000002861023,276.300018310547,0.5854517809348181,9.0
312,-3.39999999999998,0.0,10.4200000762939,3.7300000190734894,277.20001220703097,0.5860912883654237,8.0
313,-3.81000366210935,0.0,9.06999969482422,3.5199999809265097,295.100006103516,0.5867307957960293,6.5
314,-4.5100158691406,0.0,8.189999580383299,2.75,282.70001220703097,0.5873703032266349,5.0
315,-4.56000366210935,0.0,7.48000001907349,2.60999989509583,281.899993896484,0.5880098106572405,888.0
316,-4.8800109863281,0.0,7.10999965667725,2.15999984741211,276.399993896484,0.588649318087846,5.0
317,-5.22000732421873,0.0,6.26999998092651,1.64999997615814,276.300018310547,0.5892888255184516,5.0
318,-5.0100158691406,0.0,8.57999992370605,2.77999997138977,277.600006103516,0.5899283329490572,1.0
319,-5.29999389648435,0.0,4.31999969482422,1.24000000953674,278.0,0.5905678403796628,2546.0
320,-5.16000976562498,0.0,7.26999998092651,2.07999992370605,262.800018310547,0.5912073478102684,1784.0
321,-5.0100158691406,0.0,7.53999996185303,2.5199999809265097,276.300018310547,0.591846855240874,3413.0
322,-5.19000854492185,0.0,3.42999982833862,2.25999999046326,254.400009155273,0.5924863626714796,44.0
323,-4.56000366210935,0.0,6.10999965667725,2.0,263.70001220703097,0.5931258701020852,562.0
324,-4.16000976562498,0.0,1.66999995708466,1.66999995708466,294.300018310547,0.5937653775326908,983.0
325,-3.09000244140623,0.0,5.73000001907349,1.55999994277954,269.20001220703097,0.5944048849632964,1655.0
326,-2.1099914550781,0.0,7.549999713897709,2.7899999618530296,251.699996948242,0.5950443923939019,1131.0
327,-0.730017089843727,0.0,9.03999996185303,3.79999995231628,265.70001220703097,0.5956838998245075,49.0
328,0.189996337890648,0.0,9.5,3.7899999618530296,269.399993896484,0.5963234072551131,51.0
329,-0.149999999999977,0.0,8.689999580383299,3.33999991416931,261.800018310547,0.5969629146857187,51.0
330,0.390008544921898,0.0,8.340000152587889,3.29999995231628,272.600006103516,0.5976024221163243,1.0
331,0.899987792968773,0.0,7.89999961853027,2.9800000190734903,264.800018310547,0.5982419295469299,5.0
332,2.1400085449219,0.0,8.059999465942381,3.15999984741211,270.20001220703097,0.5988814369775355,1.0
333,2.05999145507815,0.0,2.85999989509583,1.33999991416931,286.70001220703097,0.5995209444081411,1.0
334,2.20998535156252,0.0,1.62000000476837,0.509999990463257,314.300018310547,0.6001604518387467,6.909090909090909
335,2.71999511718752,0.0,1.9799998998642,0.719999969005585,29.800001144409197,0.6007999592693523,12.818181818181818
336,2.45998535156252,0.0,1.28999996185303,1.28999996185303,143.699996948242,0.6014394666999578,18.727272727272727
337,2.2499938964844,0.0,0.539999961853027,0.539999961853027,65.40000152587889,0.6020789741305634,24.636363636363637
338,1.42998657226565,0.0,1.35000002384186,1.35000002384186,65.59999847412111,0.6027184815611689,30.545454545454547
339,0.0199829101562727,0.0,1.55999994277954,1.25,76.0,0.6033579889917745,36.45454545454545
340,0.589990234375023,0.0,1.19999992847443,1.10000002384186,80.4000015258789,0.6039974964223801,42.36363636363637
341,1.48000488281252,0.0,2.30999994277954,1.73000001907349,53.4000015258789,0.6046370038529857,48.27272727272727
342,0.689996337890648,0.0,3.5199999809265097,1.37999999523163,57.2000007629395,0.6052765112835913,54.18181818181818
343,0.239984130859398,0.0,2.02999997138977,1.80999994277954,32.9000015258789,0.6059160187141969,60.09090909090909
344,-0.200018310546852,0.0,3.18999981880188,1.23000001907349,23.0,0.6065555261448025,66.0
345,-0.790014648437477,0.0,1.7400000095367398,1.61000001430511,25.899999618530305,0.607195033575408,74.0
346,-0.590002441406227,0.0,1.4099999666213998,1.1599999666214,6.7000002861022905,0.6078345410060136,74.0
347,-0.4200195312499769,0.0,1.9099999666214,0.4099999964237209,49.5,0.6084740484366192,82.0
348,0.429986572265648,0.0,1.25999999046326,1.01999998092651,46.5,0.6091135558672248,71.0
349,0.879998779296898,0.0,1.53999996185303,0.439999997615814,60.2000007629395,0.6097530632978304,139.0
350,3.3799987792969,0.0,0.44999998807907104,0.44999998807907104,102.0,0.610392570728436,140.0
351,6.659997558593769,0.0,1.91999995708466,0.639999985694885,115.700004577637,0.6110320781590416,10.0
352,7.5100036621094,0.0,2.57999992370605,1.71999990940094,147.300003051758,0.6116715855896472,9.0
353,8.67000732421877,0.0,7.349999904632571,2.12999987602234,176.5,0.6123110930202528,9.0
354,8.92998657226565,0.0,5.900000095367429,2.2699999809265097,197.300003051758,0.6129506004508584,8.0
355,9.80999145507815,0.0,8.35999965667725,2.37999987602234,190.600006103516,0.613590107881464,9.0
356,9.92000732421877,0.0,8.96000003814697,2.24000000953674,167.900009155273,0.6142296153120695,1.0
357,8.5100036621094,0.0,4.31999969482422,2.1399998664856,136.800003051758,0.6148691227426751,22.0
358,7.959985351562519,0.0,7.67999982833862,1.92999994754791,162.600006103516,0.6155086301732807,20.0
359,8.05999145507815,0.0,4.61999988555908,1.39999997615814,181.900009155273,0.6161481376038863,19.0
360,8.1099792480469,0.0,2.0699999332428,0.6899999976158139,103.099998474121,0.6167876450344919,16.0
361,7.43999633789065,0.0,1.79999995231628,1.79999995231628,53.2999992370605,0.6174271524650975,13.0
362,7.399987792968769,0.0,1.67999994754791,1.29999995231628,55.7000007629395,0.6180666598957031,10.0
363,7.29998168945315,0.0,5.69000005722046,3.2100000381469704,11.6000003814697,0.6187061673263087,7.0
364,7.29998168945315,0.0,3.80999994277954,3.80999994277954,130.5,0.6193456747569143,4.0
